Name,Address,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Description,Currency,Price Level,City,Country,State
The Inn at Little Washington,"309 Middle St., Washington, 22747, USA",American,-78.1595348,38.7134767,3 Stars,1,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking","Chef Patrick O’Connell has long been the steward of this idyllic restaurant just outside Washington. In a town whose very existence seems tied to his success, dinner here recalls another era. The dining room is embellished to the very last inch, with fringe and fabric all over, patterned carpets, and lush wallpaper. The menu is divided between classics and vegetables, most of which are sourced locally and from the team’s own garden. Dinner always begins with pimento cheese packed into a crisp chip and ends with a playful pear dessert. In between, courses like lobster with caviar beurre blanc show the kitchen at its very best. And all throughout, roaming bread and cheese carts are a reminder of a luxury that’s less and less common.",$,4,Washington,USA,District of Columbia
Per Se,"10 Columbus Circle, New York, 10019, USA",Contemporary,-73.9825882,40.7680545,3 Stars,0,"Air conditioning,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","An experience at Thomas Keller’s Per Se is one to be savored, recounted and remembered. Despite stellar views and a clever design allowing each table a view, your attention won’t stray from the plate. Such is the appeal of the place.There are two menus, one of which is vegetarian and may highlight a playful twist on borscht, with red beet agnolotti and crème fraîche. Both menus end in a grand dessert finale, like seasonal confections as well as such classics as a cappuccino semifreddo served with brioche donuts. They do offer supplements using lavish ingredients, but unless you’re richer than Croesus, you needn’t consider them. Just put yourself in the chef's hands and relish a meal that is balanced, varied and as seasonal as it gets.",$,4,New York,USA,New York
Le Bernardin,"155 W. 51st St., New York, 10019, USA",Seafood,-73.98223,40.76177,3 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access","Maguy Le Coze and Eric Ripert’s icon has been entertaining the city’s movers and shakers for close to 30 years and its popularity remains undimmed. Seafood restaurants have no hiding place when it comes to cooking fish or crustaceans and this kitchen always hits its marks—whether that’s lusciously sweet, seared langoustine in a truffled broth or golden-brown fluke with a bouillabaisse enriched with sea urchin. While seafood remains Ripert's passion, his vegetarian tasting menu makes waves with dishes like the Himalayan morel, spring pea and fava bean casserole or the warm artichoke panaché with vegetable risotto and Périgord black truffle vinaigrette. Finish with purple sweet potato baba au whisky cloaked with caramelized pecan whipped cream.",$,4,New York,USA,New York
Eleven Madison Park,"11 Madison Ave., New York, 10010, USA",Vegan,-73.9872414,40.7415543,3 Stars,0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Chef Daniel Humm presides over this temple of modern elegance with a zealous dedication to masterful precision. Nothing is out of place and everything is custom made, from the staff’s suits to the handblown water vases.The plant-based menu is a bold vision of luxury dining and elevates the concept to unparalleled heights. The freshly baked, delicately crisped vegan roll presented with faux butter is a magical creation. A quenelle of tonburi, mimicking caviar, plated with horseradish cream and accompanied by a radish tostada with a swipe of pumpkin seed butter is simply stunning. Toothsome braised seitan, wrapped in spinach and dressed with morels, is amplified with luscious sauce work.Desserts, perhaps a frozen cherry blossom and rose confection dressed with strawberries, are equally accomplished.",$,4,New York,USA,New York
Masa,"10 Columbus Circle, New York, 10019, USA",Japanese,-73.98234,40.76819,3 Stars,0,"Air conditioning,Counter dining,Interesting wine list,Notable sake list,Wheelchair access","There is nothing like an omakase in the care of Chef Masa Takayama. The commotion of Columbus Circle gives way to the calm, collected ceremony of a room anchored by a strikingly smooth hinoki counter. Everything is in place, as chefs and servers work with a kind of harmony that recalls ballet. Every decision, every move, is in the service of his distinctive style, which many have copied but none have mastered. Fragrant white and black truffles, pearly beads of Osetra caviar, and vibrant garnishes make for brilliant touches that straddle the line between luxury and excess. Few have both the imagination and the know-how to make foie gras nigiri, and few serve abalone so meltingly tender. It is a captivating experience that is singularly memorable.",$,4,New York,USA,New York
Smyth,"177 N. Ada St., Chicago, 60607, USA",Contemporary,-87.6606324,41.8850485,3 Stars,0,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access","The very chic Smyth with its lounge styling and open kitchen is helmed by Chefs John Shields and Karen Urie-Shields. Their cooking is bold and often pushes boundaries, all the while impressing. Sheer creativity is applied to seasonal produce, some of which comes from their garden. A quail egg, gently smoked and topped with caviar, is given a twist with barley caramel. Resting inside its shell, plump Maine uni, amplified with a divine peach gel and wasabi cream, is both stunning and memorable. The chef's creativity is on full display in an utterly unique Dungeness crab dish, while wagyu sided by a truffle-flavored doughnut with marrow glaze is yet another hit. Savory sweets, like new potato ice cream, a corn macaron with peppery nasturtium, or the dark chocolate tartlet studded with kombu, raise the bar.",$,4,Chicago,USA,Illinois
Alinea,"1723 N. Halsted St., Chicago, 60614, USA",Creative,-87.648174,41.9132737,3 Stars,0,"Air conditioning,Interesting wine list,Terrace,Valet parking,Wheelchair access","Chef Grant Achatz continues to burst with novel ideas at this ingenious, substantive, and festive temple. Dining here is part theater and pure pleasure; and meals are an olfactory experience by dint of scented vapors, tricks, and tableside fun.Executive Chef Douglas Alley is firmly in play, turning out whimsical items that are at times experimental. For starters, a custom resin dish bearing cured Arctic char, crowned by crisped skin glazed with maple syrup. The dish is then flipped to reveal roe suspended in smoke gel. The flavors of Thailand follow in salt-baked kohlrabi shaved tableside. The meal meets its dramatic end with a ""Paint"" dessert—think of a Pollock-esque creation with blueberries and a liquid N2-frozen block of chocolate mousse smashed to bits.",$,4,Chicago,USA,Illinois
Atelier Crenn,"3127 Fillmore St., San Francisco, 94123, USA",Contemporary,-122.43586,37.79835,3 Stars,1,"Air conditioning,Interesting wine list,Wheelchair access","At the hands of accomplished Chef Dominique Crenn, guests have rightly come to expect a thrilling meal inside her singular atelier. An exclusive hallmark of dining here is the deeply hospitable and exemplary staff. Originality is the name of this culinary game, enhanced by evolution. Chef Crenn’s full embrace of Californian inspiration is evident now more than ever; the dairy-free, pescatarian menu is built around produce sourced from a partner farm in Sonoma.Trompe l'oeil canapes set the scene for a meal composed of unique bites, like a pairing of celtuce and caviar, and Monterey Bay abalone dressed with mustard seeds and braised cabbage. Pastry Chef/partner Juan Contreras’ desserts conclude the meal as it began, with a procession of creative morsels.",$,4,San Francisco,USA,California
Addison,"5200 Grand Del Mar Way, San Diego, 92130, USA",Contemporary,-117.1988908,32.9412972,3 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Valet parking,Wheelchair access","Chef William Bradley has helmed the stoves at Addison since 2006, transforming this Southern Californian oasis into a world-class dining destination. Global inspiration and Californian sentimentality are at the heart of his approach, and no dish captures this better than sesame-seasoned Koshihikari rice finished with applewood-smoked sabayon and crowned with Regiis Ova reserve caviar. From chicken liver churros to a riff on chips and dip, dishes are playful yet polished. Opening bites, such as Kumamoto oysters with pickled green strawberry or Iberian ham folded over a gloriously golden potato, display finely tuned flavors. Shellfish-studded chawanmushi exemplifies masterful control over technique, flavors and textures. Meals conclude with a selection of stunning small bites.",$,4,San Diego,USA,California
Quince,"470 Pacific Ave., San Francisco, 94133, USA",Contemporary,-122.4032607,37.7975054,3 Stars,1,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access","To mark its 20th anniversary, Chef Michael and Lindsay Tusk have given their restaurant a luxe refresh that has reinvigorated the early 1900's Jackson Square setting. The commitment to seasonality and locality is striking, with much of the produce sourced from their partner farm. Dinner here celebrates the season with an array of elegant presentations. A small bowlful of gently cooked first-of-the-season peas are served in a silky broth brimming with flavor from guanciale and Tomales Bay clam. Pasta has always been a highlight here, and the agnolotti filled with white asparagus is no exception. Local lamb cooked in the fireplace is arranged with a springtime melange of fava beans, green garlic, and edible blossoms, and accompanied by freshly baked bread tinted by vegetable ash.",$,4,San Francisco,USA,California
